src
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
60,5,17,5,14,5,5,21,5,5,5,14,14,2358,31,5,5,14,54,14,5,5,14,14,5,5,14,5,5,5,14,5,
31,12,984,50,17,75,12,46,1258,12,532,17,257,167,23,12,2925,68,53,17,102,4092,68,309,69,12,17,35,438,12,17,12,
7,61,7,7,10,35,7,5334,22,10,33,7,193,23,4874,30,7,10,277,10,12,2478,7,199,27,10,186,7,10,30,71,40,
106,11,44,2798,6,100,972,7,155,13,40,251,10,6,22,28,13,548,368,83,10,341,6,68,70,227,254,6,13,28,11,91,
581,6,5413,40,51,7,8,6,10,0,22,8,1951,1135,0,13,72,81,0,192,361,7,51,70,11,81,1655,51,2539,13,19,15,
1691,181,594,130,1434,19,16,647,824,2329,65,158,8,2675,4,52,93,32,4,424,266,13,81,20,26,9,45,419,70,1173,1162,377,
15,28,45,6,915,118,23,2398,4,62,4,9,19,18,3,193,585,11,3,10,7,1522,8,2524,145,51,401,219,78,369,45,7,
776,6,4848,2417,19,8,6,814,3,15,3,226,24,36,1,8,23,6,1,1251,220,36,2878,4,793,322,8,18,10,49,0,6,
7,107,4,4,539,20,0,4,1,674,1,0,6,23,1,10,18,181,1,28,9,4,9,3,4,201,16,2030,6,6,4,80,
19,4,3,3,2239,6429,1622,3,1,0,1,113,115,6,1,13,1429,4,1,377,10,3,10,1,3,32,15,406,0,1335,3,4151,
712,3,1,1,4,9,4,1,1,9,1,5853,92,155,1,0,4,3,1,11,194,1,13,1,1,56,732,4,4,300,1,556,
4,1,1,1,3,15,3,1,1,188,1,4,274,157,1,4,3,1,1,4,39,1,398,1,1,555,468,3,3,4,1,11,
3,1,1,1,1,1387,1,1,1,15,1,3,265,4,1,3,1,1,1,3,20,1,219,1,1,45,39,1,1,3,1,13,
1,1,1,1,1,1689,1,1,1,289,1,1,4,3,1,1,1,1,1,1,217,1,23,1,1,1119,4,1,1,1,1,5046,
1,1,1,1,1,41,1,1,1,4,1,1,3,1,1,1,1,1,1,1,4,1,13,1,1,4,3,1,1,1,1,133,
1,1,1,1,1,5415,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,0,1,1,3,1,1,1,1,1,4,
1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,3,
1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,
len_src
14,12,11,11,13,19,13,11,9,17,9,14,16,15,8,14,13,12,8,14,17,11,19,10,11,17,16,13,13,14,11,18,
trg
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
59,6,275,6,6,6,6,19,7304,6,6,6,6,3004,284,6,6,6,431,6,6,53,6,6,6,6,6,583,6,6,6,6,
36,12,766,58,16,25,196,52,4,1489,26,16,24,1229,199,12,2896,72,22,16,25,350,72,72,61,12,16,7,72,12,16,12,
7,10,71,7,14,35,7,15,1148,12,11,7,114,17,8,10,7,7,37,14,2685,1056,14,76,110,7,548,4,14,37,10,140,
64,42,837,4,4,112,4,799,7,7,24,31,14,1814,3798,37,4,4,7,51,12,1144,4,7,94,4,71,31,28,7,97,28,
481,9,767,550,31,20,746,67,8,4,34,15,442,41,1668,7,26,64,1550,102,21,366,31,30,9,26,8,23,756,44,9,1126,
806,4,13,200,1642,8,85,874,120,26,140,24,14,4,7,44,2020,23,4,910,218,7,23,188,8,23,3176,232,1727,13,8,126,
4,89,4,140,10,118,42,7,14,4789,7,11,4,147,2524,13,10,96,62,1393,11,4,15,4,89,11,13,50,173,4,113,55,
721,7,259,7,260,29,48,28,520,4919,8,30,61,48,7618,4,0,9,39,641,153,1358,1049,186,11,31,4,4,122,253,13,28,
7,44,167,4,45,21,4,318,5,1375,47,419,35,4,5,24,9,4,13,4,10,40,151,645,1425,153,12,885,18,367,4,602,
8,13,5,1690,1252,4,417,2124,3,43,5,468,56,120,3,114,4,89,9645,93,46,5,15,5,716,10,46,114,4,84,283,290,
179,4,3,5,5,1094,208,5,1,23,3,81,20,9,1,14,2032,5,5,5,4,3,11,3,5,32,4,5,227,4,13,4,
5,80,1,3,3,1240,5,3,1,470,1,4,159,4,1,4,5,3,3,3,202,1,4,1,3,9,420,3,674,557,211,62,
3,5,1,1,1,68,3,1,1,4,1,160,5,868,1,717,3,1,1,1,5,1,68,1,1,8,13,1,5,317,5,64,
1,3,1,1,1,11,1,1,1,285,1,5,3,461,1,1170,1,1,1,1,3,1,834,1,1,523,477,1,3,5,3,11,
1,1,1,1,1,4,1,1,1,5,1,3,1,190,1,9,1,1,1,1,1,1,4,1,1,13,5,1,1,3,1,24,
1,1,1,1,1,26,1,1,1,3,1,1,1,5,1,149,1,1,1,1,1,1,3658,1,1,4,3,1,1,1,1,500,
1,1,1,1,1,11,1,1,1,1,1,1,1,3,1,5,1,1,1,1,1,1,5,1,1,325,1,1,1,1,1,5,
1,1,1,1,1,24,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,1,1,5,1,1,1,1,1,3,
1,1,1,1,1,198,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,
1,1,1,1,1,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
len_trg
14,15,12,13,13,23,14,13,11,17,12,16,15,18,11,19,14,13,13,13,15,12,19,12,13,20,17,13,15,16,15,19,
